Unnamed: 0.1,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,QED,mol
4175,4920,CN(C(=O)CSC1=NN=CN1C=2C=CC=CC2)C=3C=CC=CC3,Z18847263,324.402,324.402,2.451,-5.38,0,3,51.02,5,https://real.enamine.net/public-enum-files/Z18847263,0.677039354900975,<rdkit.Chem.rdchem.Mol object at 0x143092030>
4177,4922,COC=1C=CC=2CCC(CC2C1)NCC=3C=CC=C(C3)OCC(N)=O,Z1508398943,340.417,340.417,2.384,-3.41,2,4,73.58,7,https://real.enamine.net/public-enum-files/Z1508398943,0.810376143825425,<rdkit.Chem.rdchem.Mol object at 0x143092110>
4185,4931,N#CC(C(=O)C=1C=CC(F)=C(F)C1)C2=NC=3C=CC=CC3N2,Z637291414,297.26,297.26,2.243,-4.482,1,3,69.54,3,https://real.enamine.net/public-enum-files/Z637291414,0.7537745567350393,<rdkit.Chem.rdchem.Mol object at 0x143092490>
4186,4932,FC(F)(F)C=1C=CC=C(C1)C=2N=NN(CC=CC=3C=CC=CC3)N2,Z19040591,330.308,330.308,4.936,-5.338,0,3,43.6,5,,0.7240723184585927,<rdkit.Chem.rdchem.Mol object at 0x143092500>
4190,4937,CCOC=1C=CC=CC1CN2N=NC(=N2)C=3C=CC=C(C3)C(F)(F)F,Z19040985,348.323,348.323,4.78,-5.05,0,4,52.83,6,,0.7036203775867983,<rdkit.Chem.rdchem.Mol object at 0x1430926c0>
4194,4941,CC(C1=NC(CC=2C=CC=CC2)=NO1)N3CCCC(C3)C4=CC=NN4,Z1262776565,337.42,337.42,2.094,-2.52,1,4,70.84,5,https://real.enamine.net/public-enum-files/Z1262776565,0.7731309446081293,<rdkit.Chem.rdchem.Mol object at 0x143092880>
4203,4960,O=C(CN1C=NC=2C=CC=CC21)NC=3C=CC(F)=C(F)C3,Z19648330,287.265,287.265,2.915,-3.867,1,2,46.92,3,https://real.enamine.net/public-enum-files/Z19648330,0.8047451935415381,<rdkit.Chem.rdchem.Mol object at 0x143092c70>
4218,4980,N#CC=1C=CC=CC1CSC2=NC(=CS2)C=3C=CC=CC3,Z20122341,308.423,308.423,4.878,-6.249,0,2,36.68,4,https://real.enamine.net/public-enum-files/Z20122341,0.6381695020253942,<rdkit.Chem.rdchem.Mol object at 0x143093300>
4219,4981,O=C(NC=1C=CC=C(Cl)C1)N2CCCN(CC=3C=CC(F)=CC3)CC2,Z223219628,361.841,361.841,4.095,-4.514,1,2,35.58,3,https://real.enamine.net/public-enum-files/Z223219628,0.8880324291337865,<rdkit.Chem.rdchem.Mol object at 0x143093370>
4227,4991,O=C1CN(CC2=CC=C(F)C3=CC=CN=C23)CCN1,Z398304482,259.28,259.28,1.628,-1.857,1,3,45.23,2,https://real.enamine.net/public-enum-files/Z398304482,0.884025776324418,<rdkit.Chem.rdchem.Mol object at 0x1430936f0>
4228,4992,CC(=O)N1CCN(CC2=NC3=CC(Cl)=CC=C3N2C)CC1,Z641498370,306.791,306.791,1.648,-1.693,0,3,41.37,2,https://real.enamine.net/public-enum-files/Z641498370,0.8506571505780157,<rdkit.Chem.rdchem.Mol object at 0x143093760>
4235,5000,CC(C(=O)NC=1C=C(F)C=CC1F)N2CCN(CCC=3C=CC=CC3)CC2,Z196099486,373.44,373.44,2.803,-3.589,1,3,35.58,6,https://real.enamine.net/public-enum-files/Z196099486,0.8449994367577203,<rdkit.Chem.rdchem.Mol object at 0x143093a70>
4238,5003,COC=1C=CC(Cl)=CC1NC(=O)CN2CCC(CC2)C3=CNC4=CC=CC=C34,Z225097560,397.898,397.898,4.301,-4.626,2,3,57.36,5,https://real.enamine.net/public-enum-files/Z225097560,0.6585196961752263,<rdkit.Chem.rdchem.Mol object at 0x143093bc0>
4240,5005,CC(C=1C=CC=CC1)N(C)CC2=NC(=NO2)C=3C=CC=C(C3)C(F)(F)F,Z224582692,361.362,361.362,4.393,-4.939,0,3,42.16,6,https://real.enamine.net/public-enum-files/Z224582692,0.6449138503679737,<rdkit.Chem.rdchem.Mol object at 0x143093ca0>
4248,5013,COC=1C=CC(=CN1)N(C)C(=O)C2=COC(=N2)C3CCOCC3,Z1791227089,317.34,317.34,-0.235,-1.839,0,5,77.69,5,https://real.enamine.net/public-enum-files/Z1791227089,0.8604497549572084,<rdkit.Chem.rdchem.Mol object at 0x14308c0b0>
4258,5026,CC1=CC=C(C(=O)N2CCCC(C2)C3=NC=4C=CC=CC4N3)C(=O)N1,Z641646472,336.389,336.389,0.828,-4.27,2,3,78.09,3,https://real.enamine.net/public-enum-files/Z641646472,0.7544785657852989,<rdkit.Chem.rdchem.Mol object at 0x14308c510>
4260,5028,CC(CN1C=CN=C1)NC(=O)NCC=2C=CC(=NC2)OC3=CC=CC(F)=C3,Z976751652,369.394,369.394,2.272,-3.57,2,3,81.07,7,https://real.enamine.net/public-enum-files/Z976751652,0.6705688978595643,<rdkit.Chem.rdchem.Mol object at 0x14308c5f0>
4263,5031,O=C(CCC=1C=CC=CC1)N2CCC(CC2)NC=3C=CC=NC3,Z1015925252,309.406,309.406,1.871,-2.99,1,3,45.23,6,https://real.enamine.net/public-enum-files/Z1015925252,0.9227771153781678,<rdkit.Chem.rdchem.Mol object at 0x14308c740>
4266,5034,COC=1C=C(C=CC1F)N2CCN(CC2)C(=O)NCC=3N=NN(C)N3,Z2017877171,349.364,349.364,0.919,-2.121,1,6,88.41,6,https://real.enamine.net/public-enum-files/Z2017877171,0.8590498074996078,<rdkit.Chem.rdchem.Mol object at 0x14308c890>
4280,5048,CCOC(=O)NC=1C=CC=C(C1)C(=O)OCC2=NN=C(O2)C=3C=CC=CC3,Z167954518,367.356,367.356,2.87,-4.85,1,5,103.55,8,https://real.enamine.net/public-enum-files/Z167954518,0.6630419620571789,<rdkit.Chem.rdchem.Mol object at 0x14308ceb0>
4281,5050,O=C(NC1CCN(CC1)C2CC2)N3CCC(F)(CO)C3,Z2019087579,285.358,285.358,-0.421,-1.398,2,3,55.81,5,https://real.enamine.net/public-enum-files/Z2019087579,0.8035657547575087,<rdkit.Chem.rdchem.Mol object at 0x14308cf20>
4287,5056,O=C(C1CCN(CC2=CC=C(Cl)S2)CC1)N3CCC=4C=CC=CC4C3,Z354748414,374.929,374.929,2.888,-4.83,0,2,23.55,4,https://real.enamine.net/public-enum-files/Z354748414,0.8034229749089088,<rdkit.Chem.rdchem.Mol object at 0x14308d150>
4288,5057,COC=1C=CC(OC)=C(C1)N2N=NN=C2SC(C)C3=NN=C(C)O3,Z1021676588,348.382,348.382,0.392,-3.637,0,7,100.98,6,https://real.enamine.net/public-enum-files/Z1021676588,0.6204238834280907,<rdkit.Chem.rdchem.Mol object at 0x14308d1c0>
4290,5059,CN(C(=O)C1=CC=C(NC1=O)C2=CC=CO2)C=3C=CC=CC3F,Z1022208796,312.296,312.296,1.611,-4.63,1,2,62.55,4,https://real.enamine.net/public-enum-files/Z1022208796,0.8080650330819298,<rdkit.Chem.rdchem.Mol object at 0x14308d2a0>
4299,5068,CC=1OC=NC1C(=O)NC2=NN=C(CC(C)C)S2,Z826651390,266.321,266.321,1.473,-3.551,1,4,80.91,5,https://real.enamine.net/public-enum-files/Z826651390,0.9177757298896336,<rdkit.Chem.rdchem.Mol object at 0x14308d690>
4307,5077,CC(C(=O)N1CCC(CC1)C2=NC(=NO2)N(C)C)C3CC3,Z1952984685,292.377,292.377,0.694,-2.5,0,4,62.47,5,https://real.enamine.net/public-enum-files/Z1952984685,0.847723094814732,<rdkit.Chem.rdchem.Mol object at 0x14308da10>
