Unnamed: 0.1,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,QED,mol
0,0,O=C(NC1=NC(=NS1)C=2C=CC=CC2)C=3C(F)=CC=CC3Br,Z1343597788,378.22,378.22,3.017,-7.078,1,3,54.88,4,https://real.enamine.net/public-enum-files/Z1343597788,0.7370203483893217,<rdkit.Chem.rdchem.Mol object at 0x1429320a0>
1,1,CC1CC=2C=CC=CC2N1C(=O)C=3C=CN(N3)C=4C=CC(F)=CC4,Z391927422,321.349,321.349,3.646,-4.672,0,2,38.13,3,https://real.enamine.net/public-enum-files/Z391927422,0.7231105217569636,<rdkit.Chem.rdchem.Mol object at 0x142931ee0>
2,2,CC=1C=CC(=CC1)C=2N=NN(CC(=O)NC=3C=CC=CC3OCC(F)(F)F)N2,Z241875964,391.348,391.348,3.408,-5.779,1,5,81.93,7,https://real.enamine.net/public-enum-files/Z241875964,0.6977644030511676,<rdkit.Chem.rdchem.Mol object at 0x1429325e0>
3,3,FC=1C=CC=C(C1)NCC2=NC(=NO2)C3=CC=CO3,Z297575978,259.236,259.236,2.37,-3.198,1,3,64.09,4,https://real.enamine.net/public-enum-files/Z297575978,0.7795748546399626,<rdkit.Chem.rdchem.Mol object at 0x142932650>
4,4,CC=1C=CC=CC1NC(=O)C2CCCN2C3=NC=CS3,Z391936202,287.382,287.382,2.052,-3.989,1,3,45.23,3,https://real.enamine.net/public-enum-files/Z391936202,0.9433783645400272,<rdkit.Chem.rdchem.Mol object at 0x1429326c0>
5,5,COC=1C=CC(F)=CC1C2=CSC(=N2)NC(=O)C=3C=C(F)C=C(F)C3,Z424345186,364.343,364.343,3.987,-6.257,1,3,51.22,4,https://real.enamine.net/public-enum-files/Z424345186,0.7421975429401189,<rdkit.Chem.rdchem.Mol object at 0x142932730>
6,7,CC1=NN(C(C)=C1CC(=O)NC=2C=C(F)C=CC2F)C=3C=CC(Cl)=CC3,Z441692534,375.8,375.8,4.024,-4.633,1,2,46.92,4,https://real.enamine.net/public-enum-files/Z441692534,0.7239076763581931,<rdkit.Chem.rdchem.Mol object at 0x1429327a0>
8,9,CN(CC=1C(F)=CC=CC1Cl)C(=O)C=2C=C(ON2)C=3C=CC=CC3,Z164832288,344.768,344.768,4.246,-5.462,0,2,46.34,4,https://real.enamine.net/public-enum-files/Z164832288,0.7040874934401216,<rdkit.Chem.rdchem.Mol object at 0x142932110>
9,10,CC1=CN=C(O1)C=2C=CC=C(C2)NC(=O)C=3C=CC4=C(C3)N=CN4C,Z1506034815,332.357,332.357,2.666,-4.192,1,3,72.95,3,https://real.enamine.net/public-enum-files/Z1506034815,0.619344754030515,<rdkit.Chem.rdchem.Mol object at 0x1429328f0>
10,12,CC=1C=CC(=CC1)C=2N=NN(CC(=O)C=3C=CC(Br)=CC3)N2,Z17746725,357.205,357.205,4.353,-5.66,0,4,60.67,4,,0.6725713732322097,<rdkit.Chem.rdchem.Mol object at 0x142932960>
11,13,O=C(CC=1C=NN(C1)C=2C=CC=CC2)NC=3C=CC=CC3N4C=CC=N4,Z444083726,343.383,343.383,3.184,-3.086,1,3,64.74,5,https://real.enamine.net/public-enum-files/Z444083726,0.6049210507618273,<rdkit.Chem.rdchem.Mol object at 0x1429329d0>
12,16,CC(C)C=1C=CC=CC1NC(=O)CC=2C=CC=C3C=CC=NC23,Z222980380,304.386,304.386,3.113,-4.907,1,2,41.99,4,https://real.enamine.net/public-enum-files/Z222980380,0.7686084450474749,<rdkit.Chem.rdchem.Mol object at 0x142932a40>
13,17,CN(C)C=1N=CC=CC1C(=O)NC2=NC=C(CC3=CC=C(F)C(Cl)=C3)S2,Z406660130,390.864,390.864,4.308,-5.35,1,4,58.12,5,https://real.enamine.net/public-enum-files/Z406660130,0.7074988919734903,<rdkit.Chem.rdchem.Mol object at 0x142932ab0>
14,18,COC(C(=O)N1CCCC(C1)N2C=C(C)C=N2)C=3C=CC=CC3,Z1139348278,313.395,313.395,2.445,-2.572,0,3,47.36,5,https://real.enamine.net/public-enum-files/Z1139348278,0.8717787914707441,<rdkit.Chem.rdchem.Mol object at 0x142932b20>
15,19,N#CC=1C=CC(CC2=CN=C(NC(=O)C=3C=NC=CN3)S2)=C(C1)C(F)(F)F,Z424323912,389.356,389.356,2.459,-4.352,1,5,91.56,6,https://real.enamine.net/public-enum-files/Z424323912,0.7351771240568561,<rdkit.Chem.rdchem.Mol object at 0x142932b90>
16,20,O=C(NC1=NC=2C=C(F)C(F)=CC2S1)C3=CN4C=CC=NC4=N3,Z1006367294,331.302,331.302,2.408,-5.03,1,4,72.18,3,https://real.enamine.net/public-enum-files/Z1006367294,0.6129414375643898,<rdkit.Chem.rdchem.Mol object at 0x142932880>
17,21,CC=1N=CSC1C(=O)NC2=NC=C(CC=3C=CC(Cl)=CC3)S2,Z607149946,349.861,349.861,3.423,-5.34,1,3,54.88,4,https://real.enamine.net/public-enum-files/Z607149946,0.7588579857736006,<rdkit.Chem.rdchem.Mol object at 0x142932c70>
18,24,O=C(NCC1=NN=C2CCCN12)C=3C=NN(C3)C=4C=CC=CC4,Z220594210,308.339,308.339,0.369,-1.767,1,4,77.63,4,https://real.enamine.net/public-enum-files/Z220594210,0.7887688316852957,<rdkit.Chem.rdchem.Mol object at 0x142932ce0>
19,26,CC=1C=C(ON1)C2CCCN2C(=O)C=3C=CC(=NC3)N4N=C(C)C=C4C,Z651792858,351.403,351.403,1.437,-3.016,0,4,77.05,3,https://real.enamine.net/public-enum-files/Z651792858,0.7242729303741667,<rdkit.Chem.rdchem.Mol object at 0x142932d50>
20,27,CC1=NN(C)C=2N=CC(=CC12)C(=O)N3CCCC3C=4C=CN=CC4,Z281600828,321.377,321.377,0.905,-2.753,0,4,63.91,2,https://real.enamine.net/public-enum-files/Z281600828,0.7277231885381776,<rdkit.Chem.rdchem.Mol object at 0x142932dc0>
21,30,CC1=CC=NC2=NC(=NN12)C(=O)OCC=3C=CC(Cl)=C(Cl)C3,Z18584153,337.161,337.161,2.542,-4.567,0,4,69.38,4,https://real.enamine.net/public-enum-files/Z18584153,0.68711246467489,<rdkit.Chem.rdchem.Mol object at 0x142932c00>
22,31,COC1=CC(Cl)=C(C=C1NC(=O)C=2C=C(ON2)C=3C=CC=NC3)OC,Z414960614,359.764,359.764,1.949,-4.082,1,5,86.48,5,https://real.enamine.net/public-enum-files/Z414960614,0.7477080142037986,<rdkit.Chem.rdchem.Mol object at 0x142932e30>
23,32,COC=1C=CC=C(C1)NC(=O)C2=CSC(CC=3C=CC=CC3)=N2,Z382854106,324.399,324.399,4.112,-4.119,1,3,51.22,6,https://real.enamine.net/public-enum-files/Z382854106,0.7717085481940538,<rdkit.Chem.rdchem.Mol object at 0x142932ea0>
24,33,CN(C(=O)C=1C=CC=CC1C=2C=CC=CC2C#N)C=3C=CC=CC3,Z88275061,312.365,312.365,3.732,-6.299,0,2,44.1,3,https://real.enamine.net/public-enum-files/Z88275061,0.7143433403308586,<rdkit.Chem.rdchem.Mol object at 0x142932f10>
25,34,CC=1C=CC(C)=C(C1)N2C=CN=C2S(=O)(=O)CC=3C=CC=CC3,Z608372160,326.415,326.415,4.392,-4.528,0,3,51.96,4,https://real.enamine.net/public-enum-files/Z608372160,0.7375573432193342,<rdkit.Chem.rdchem.Mol object at 0x142932f80>
26,35,COC=1C=C(Cl)C(C)=CC1NC(=O)CN2C(C)=NC3=CC=CC=C32,Z19649232,343.808,343.808,3.515,-3.998,1,3,56.15,4,https://real.enamine.net/public-enum-files/Z19649232,0.7798661119491475,<rdkit.Chem.rdchem.Mol object at 0x142932ff0>
28,37,O=C(NC=1C=CC=NC1N2C=NC=N2)C3=CSC(=N3)C=4C=CC=CC4,Z915432618,348.384,348.384,2.143,-5.376,1,5,85.59,5,https://real.enamine.net/public-enum-files/Z915432618,0.6125397068434469,<rdkit.Chem.rdchem.Mol object at 0x1429330d0>
29,38,COC=1C=CC(=CC1)CC(=O)NC=2C=CC=NC2N3C=NC=N3,Z915432262,309.323,309.323,1.125,-3.423,1,5,81.93,6,https://real.enamine.net/public-enum-files/Z915432262,0.777572011680739,<rdkit.Chem.rdchem.Mol object at 0x142933140>
30,39,O=C(NC=1C=CC=NC1N2C=NC=N2)C3=CC=4C=CC=CC4S3,Z915432582,321.358,321.358,2.241,-5.549,1,4,72.7,4,https://real.enamine.net/public-enum-files/Z915432582,0.62902197320113,<rdkit.Chem.rdchem.Mol object at 0x1429331b0>
31,40,CC1=CN2CC(CCC2=N1)NC(=O)C3=CC=4C=CC=CC4S3,Z985660044,311.403,311.403,2.986,-3.84,1,2,46.92,3,https://real.enamine.net/public-enum-files/Z985660044,0.7900685816191981,<rdkit.Chem.rdchem.Mol object at 0x142933220>
33,42,CCOC=1N=CC=CC1NC(=O)C=2C=NC=3C=CC=CC3N2,Z396811526,294.309,294.309,2.551,-2.929,1,5,77.0,5,https://real.enamine.net/public-enum-files/Z396811526,0.8001579727273259,<rdkit.Chem.rdchem.Mol object at 0x142933300>
34,45,CC=1C=CC(NC(=O)C=2C=C(C=CN2)N3C=CC=N3)=C(Br)C1,Z1231050385,357.205,357.205,3.178,-4.269,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z1231050385,0.7794005327582529,<rdkit.Chem.rdchem.Mol object at 0x142933370>
35,46,CCC=1C=CC(=CC1)C(=O)NC(C)C2=NN=C3C=CC=CN23,Z131517070,294.352,294.352,2.334,-4.421,1,3,59.29,5,https://real.enamine.net/public-enum-files/Z131517070,0.8046310887309283,<rdkit.Chem.rdchem.Mol object at 0x1429333e0>
37,54,CC1=NN=C2C=CC(=CN12)C(=O)N(C(C)C=3C=CC=CC3Cl)C4CC4,Z1013976340,354.834,354.834,3.174,-4.444,0,3,50.5,5,https://real.enamine.net/public-enum-files/Z1013976340,0.7096086312198067,<rdkit.Chem.rdchem.Mol object at 0x1429334c0>
38,56,COC=1C=CC=C(C1)CN(C)CC2=COC(=N2)C=3C=CC(F)=CC3,Z286066162,326.366,326.366,3.6,-4.13,0,3,38.5,6,https://real.enamine.net/public-enum-files/Z286066162,0.6828208979621229,<rdkit.Chem.rdchem.Mol object at 0x142933530>
39,58,CC=1C=C(Br)C=CC1C(=O)NC=2C=CC=C(C2)C3=NN=NN3C,Z641958104,372.22,372.22,3.674,-5.496,1,4,72.7,4,https://real.enamine.net/public-enum-files/Z641958104,0.7665099146784766,<rdkit.Chem.rdchem.Mol object at 0x1429335a0>
40,60,CC1=CC=NC2=NC(=NN12)C(=O)N3CCCC4=C(F)C=C(F)C=C43,Z393469920,329.305,329.305,1.33,-4.303,0,4,63.39,2,https://real.enamine.net/public-enum-files/Z393469920,0.6871527039398148,<rdkit.Chem.rdchem.Mol object at 0x142933610>
41,61,CCC=1C=CC(=CC1)C2=NOC(CN3N=C(C=CC3=O)C(N)=O)=N2,Z1020863610,325.323,325.323,0.557,-3.913,1,5,114.68,5,https://real.enamine.net/public-enum-files/Z1020863610,0.7476897781857321,<rdkit.Chem.rdchem.Mol object at 0x142933680>
42,62,NC(=O)C=1C=CC(=O)N(CC2=CSC(=N2)C3=CC=CO3)N1,Z1020863950,302.31,302.31,-0.093,-2.592,1,4,101.79,4,https://real.enamine.net/public-enum-files/Z1020863950,0.7769832656037792,<rdkit.Chem.rdchem.Mol object at 0x1429336f0>
43,64,CC(=O)NC=1C=CC=2N=C(NC(=O)C3=CC(C)=NO3)SC2C1,Z240494616,316.337,316.337,1.987,-3.792,2,4,97.12,5,https://real.enamine.net/public-enum-files/Z240494616,0.774107111912577,<rdkit.Chem.rdchem.Mol object at 0x142933760>
44,66,COC=1C=CC=CC1C2CC2C(=O)N(C)C3=NC=4C=CC=CC4S3,Z1021953430,338.425,338.425,2.706,-4.97,0,3,42.43,4,https://real.enamine.net/public-enum-files/Z1021953430,0.7199726174843394,<rdkit.Chem.rdchem.Mol object at 0x1429337d0>
45,68,CC=1NN=C2N=CC(=CC12)C(=O)NCC3=NC=CN3C=4C=CC=CC4,Z2019062922,332.36,332.36,2.506,-3.398,2,4,88.49,5,https://real.enamine.net/public-enum-files/Z2019062922,0.6004067333514255,<rdkit.Chem.rdchem.Mol object at 0x142933840>
46,69,COC=1C=CC(=CC1N2N=NN=C2C)NC(=O)C3=CC=C(F)C(F)=C3,Z1022427410,345.304,345.304,2.369,-3.953,1,5,81.93,5,https://real.enamine.net/public-enum-files/Z1022427410,0.7856291586014796,<rdkit.Chem.rdchem.Mol object at 0x1429338b0>
47,70,CN(CCN1C=CC=N1)C2=NN=C(CC=3C=CC(F)=CC3)S2,Z1665783222,317.386,317.386,2.819,-3.031,0,4,46.84,6,https://real.enamine.net/public-enum-files/Z1665783222,0.7009775326603357,<rdkit.Chem.rdchem.Mol object at 0x142933920>
48,71,CN(C(=O)C1CC1C=2C=NN(C)C2)C=3C=CC(=CC3)OC=4C=CC=CC4,Z980146434,347.411,347.411,3.232,-3.66,0,2,47.36,5,https://real.enamine.net/public-enum-files/Z980146434,0.7013027676302572,<rdkit.Chem.rdchem.Mol object at 0x142933990>
51,75,O=C(NC=1C=CN(CC2=CC=CC=N2)N1)C3CC4CCC3C4,Z971012716,296.368,296.368,2.45,-3.55,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z971012716,0.9433704015701088,<rdkit.Chem.rdchem.Mol object at 0x142933ae0>
52,76,CN1C=C(C(=O)NC=2C=CN(CC3=CC=CN=C3)N2)C=4C=CC=CC41,Z972631882,331.372,331.372,2.179,-2.93,1,3,64.74,5,https://real.enamine.net/public-enum-files/Z972631882,0.6248957154777123,<rdkit.Chem.rdchem.Mol object at 0x142933b50>
53,79,O=C(NC=1C=CN(CC=2C=CC=CN2)N1)C=3C=C(F)C(Cl)=CC3Cl,Z971014338,365.189,365.189,2.408,-4.76,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z971014338,0.7106743904916397,<rdkit.Chem.rdchem.Mol object at 0x142933bc0>
54,80,CN1C=NC(=C1NC(=O)C=2C=CN=CC2)C=3C=CC(F)=CC3,Z968762778,296.3,296.3,1.335,-3.7,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z968762778,0.8081696422751832,<rdkit.Chem.rdchem.Mol object at 0x142933c30>
55,81,CCOC=1N=CC=CC1NC(=O)CC2=CN3C=CC=CC3=N2,Z396813206,296.325,296.325,2.072,-2.727,1,4,68.52,6,https://real.enamine.net/public-enum-files/Z396813206,0.7841893086660189,<rdkit.Chem.rdchem.Mol object at 0x142933ca0>
58,84,O=C(CC1=CN2C=CC=CC2=N1)NC=3C=CC=C4CCCCC34,Z247030350,305.374,305.374,3.535,-4.643,1,2,46.4,4,https://real.enamine.net/public-enum-files/Z247030350,0.8059448823900818,<rdkit.Chem.rdchem.Mol object at 0x142933df0>
59,85,CCN1C=C(C=N1)NC(=O)C=2C=CC=3C=C(C)C=CC3N2,Z2218343933,280.325,280.325,2.916,-3.314,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z2218343933,0.801923338922078,<rdkit.Chem.rdchem.Mol object at 0x142933e60>
60,90,CC1CC=2C=CC=CC2N1CC3=NC(=NO3)C=4C=CC=NC4,Z217297012,292.336,292.336,2.896,-3.23,0,4,55.05,3,https://real.enamine.net/public-enum-files/Z217297012,0.7422322929877639,<rdkit.Chem.rdchem.Mol object at 0x142933ed0>
61,91,CN(CC1CCCO1)C(=O)C2=CSC(=N2)C=3C=CC=C(Cl)C3,Z781517794,336.838,336.838,3.022,-4.547,0,3,42.43,5,https://real.enamine.net/public-enum-files/Z781517794,0.8542843337815865,<rdkit.Chem.rdchem.Mol object at 0x142933f40>
62,95,CC=1C=C(ON1)C2CCCN2CC3=NC=C(O3)C=4C=CC=CC4,Z644726758,309.363,309.363,2.393,-2.28,0,3,55.3,4,https://real.enamine.net/public-enum-files/Z644726758,0.7294826109634024,<rdkit.Chem.rdchem.Mol object at 0x1430fc040>
63,96,CC(C=1C=CC=CC1F)S(=O)CC=2C=CC(=CC2)N3C=CC=N3,Z1138035228,328.406,328.406,2.564,-3.699,0,2,34.89,5,https://real.enamine.net/public-enum-files/Z1138035228,0.7088321283024733,<rdkit.Chem.rdchem.Mol object at 0x1430fc0b0>
64,97,CN(CC=1C=NN(C)C1)C2CCN(C2=O)C=3C=CC=C(Cl)C3,Z1348455850,318.802,318.802,2.665,-2.757,0,3,41.37,4,https://real.enamine.net/public-enum-files/Z1348455850,0.8684288163379627,<rdkit.Chem.rdchem.Mol object at 0x1430fc120>
65,98,CC1=CC(=NO1)NC(=O)NCC2=NN=C3C=CC=CN23,Z230837446,272.263,272.263,0.23,-2.196,2,4,97.35,5,https://real.enamine.net/public-enum-files/Z230837446,0.7496122806882938,<rdkit.Chem.rdchem.Mol object at 0x1430fc190>
66,100,CC1=NN=C(CSC2=NN=C(O2)C=3C=COC3C)O1,Z24592203,278.289,278.289,-0.815,-3.164,0,4,90.98,4,https://real.enamine.net/public-enum-files/Z24592203,0.6724177873696631,<rdkit.Chem.rdchem.Mol object at 0x1430fc200>
67,102,CC1CC(C(N)=O)C=2C=CC=CC2N1CC3=NC=4C=CC=CC4O3,Z647165658,321.374,321.374,2.244,-3.32,1,3,72.36,3,https://real.enamine.net/public-enum-files/Z647165658,0.8038514269936476,<rdkit.Chem.rdchem.Mol object at 0x1430fc270>
68,103,C1=NN=C(N1)C=2C=CC=CC2OCC=3C=C(ON3)C=4C=CC=CC4,Z1514063004,318.33,318.33,2.55,-5.654,1,4,76.83,5,https://real.enamine.net/public-enum-files/Z1514063004,0.6068248438796808,<rdkit.Chem.rdchem.Mol object at 0x1430fc2e0>
70,105,O=C(NC=1C=CC=NC1C=2C=CC=CC2)C=3C=NC4=CC=CC=C4N3,Z1514606915,326.352,326.352,2.889,-4.296,1,4,67.77,4,https://real.enamine.net/public-enum-files/Z1514606915,0.6189256386778091,<rdkit.Chem.rdchem.Mol object at 0x1430fc3c0>
71,107,CC=1C=C(C)N(N1)C=2C=C(N=C(C)N2)OC=3C=CC=CC3O,Z1037335784,296.325,296.325,2.389,-2.96,1,4,73.06,3,https://real.enamine.net/public-enum-files/Z1037335784,0.8037013819000421,<rdkit.Chem.rdchem.Mol object at 0x1430fc430>
72,108,CC=1C=CC=C2SC(=NC12)NC(=O)C=3C=C(Cl)C=CN3,Z82225775,303.768,303.768,3.845,-4.953,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z82225775,0.78075399599619,<rdkit.Chem.rdchem.Mol object at 0x1430fc4a0>
73,111,CC1=NN(C)C=2SC(=CC12)C(=O)NC=3C=CC=C(C3)OC4CCCC4,Z318187550,355.456,355.456,4.042,-5.12,1,3,56.15,4,https://real.enamine.net/public-enum-files/Z318187550,0.7486248180189122,<rdkit.Chem.rdchem.Mol object at 0x1430fc510>
74,112,CC1=C(C=NN1C)C(C)NC(=O)C=2C=CC(=CC2)CN3CC(C)OC(C)C3,Z372633724,370.489,370.489,2.257,-2.148,1,4,59.39,5,https://real.enamine.net/public-enum-files/Z372633724,0.8792366957152665,<rdkit.Chem.rdchem.Mol object at 0x1430fc580>
76,116,CC(C)C=1N=CC(Cl)=C(N1)C(=O)NC(C)C2COC3=CC=CC=C32,Z1515559229,345.824,345.824,2.815,-4.463,1,4,64.11,5,https://real.enamine.net/public-enum-files/Z1515559229,0.9199738853015124,<rdkit.Chem.rdchem.Mol object at 0x1430fc660>
77,117,CN1C=CC=2C(=CC=CC21)C(=O)NCC=3C=CC=CC3CN4C=CN=C4,Z1038137938,344.411,344.411,2.808,-3.48,1,2,51.85,5,https://real.enamine.net/public-enum-files/Z1038137938,0.6035212137136173,<rdkit.Chem.rdchem.Mol object at 0x1430fc6d0>
78,120,COC=1C=CC=2N=C(C)C(=CC2C1)C(=O)N(C)C3CCCC=4C=CC=CC43,Z216539280,360.45,360.45,4.783,-5.2,0,3,42.43,3,https://real.enamine.net/public-enum-files/Z216539280,0.6797228435368973,<rdkit.Chem.rdchem.Mol object at 0x1430fc740>
79,122,CN(CC1OCCC=2C=CC=CC21)C(=O)C=3C=CC=C(C3)N4C=CN=N4,Z1517465142,348.399,348.399,2.54,-3.518,0,4,60.25,4,https://real.enamine.net/public-enum-files/Z1517465142,0.7272216516858916,<rdkit.Chem.rdchem.Mol object at 0x1430fc7b0>
80,123,O=C(NCC1=NC=C(O1)C=2C=CC=CC2)C3CCCCC3C(F)(F)F,Z749730944,352.352,352.352,2.901,-4.9,1,2,55.13,6,https://real.enamine.net/public-enum-files/Z749730944,0.891186741787237,<rdkit.Chem.rdchem.Mol object at 0x1430fc820>
81,124,O=C(NCC=1C=CC(=CC1)N2C=CC=N2)C=3C=NC=C(Br)C3,Z414860292,357.205,357.205,3.072,-3.35,1,3,59.81,5,https://real.enamine.net/public-enum-files/Z414860292,0.7811155423401014,<rdkit.Chem.rdchem.Mol object at 0x1430fc890>
82,125,CC=1C=CC=C(C1)OCC(=O)N2CCCC(CNS(C)(=O)=O)C2,Z438091776,340.44,340.44,1.093,-3.065,1,4,75.71,7,https://real.enamine.net/public-enum-files/Z438091776,0.8431368271384421,<rdkit.Chem.rdchem.Mol object at 0x1430fc900>
83,127,CC=1C=C(C(=O)NC=2N=CC=CC2C)C=3C=CC(F)=CC3N1,Z1038272940,295.312,295.312,2.707,-4.3,1,3,54.88,3,https://real.enamine.net/public-enum-files/Z1038272940,0.7850070572437924,<rdkit.Chem.rdchem.Mol object at 0x1430fc970>
84,128,COC=1C=C(C=CC1OCC2=NN=C(O2)C3=CC=CS3)C(C)=O,Z26050639,330.36,330.36,1.719,-4.01,0,5,74.45,6,https://real.enamine.net/public-enum-files/Z26050639,0.6430559168700352,<rdkit.Chem.rdchem.Mol object at 0x1430fc9e0>
85,133,CC1=CC=CN2C=C(COC=3C=CC(Cl)=CC3C(N)=O)N=C12,Z26325044,315.755,315.755,3.127,-4.114,1,3,69.62,4,https://real.enamine.net/public-enum-files/Z26325044,0.8043507647104491,<rdkit.Chem.rdchem.Mol object at 0x1430fca50>
88,136,O=C(NC=1C=CC=C2CCCCC12)C=3C=CC=4N=CSC4C3,Z26415869,308.399,308.399,4.721,-5.95,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z26415869,0.7608028548148559,<rdkit.Chem.rdchem.Mol object at 0x1430fcba0>
90,138,COC=1C=C(C=C(Cl)C1OC)C(=O)NC2CCC=3C=CC=CC32,Z169790192,331.794,331.794,3.707,-4.71,1,3,47.56,5,https://real.enamine.net/public-enum-files/Z169790192,0.9272262953170994,<rdkit.Chem.rdchem.Mol object at 0x1430fcc80>
91,139,COC=1C=C(C#N)C=CC1OCC2=CSC(=N2)C=3C=NN(C)C3,Z650875874,326.375,326.375,1.955,-3.04,0,5,72.96,5,https://real.enamine.net/public-enum-files/Z650875874,0.7204299195903987,<rdkit.Chem.rdchem.Mol object at 0x1430fccf0>
92,140,CC=1C=C(Br)C=CC1NC(=O)CC2=CN3C=CSC3=N2,Z26622073,350.235,350.235,2.693,-4.516,1,2,46.4,4,https://real.enamine.net/public-enum-files/Z26622073,0.7838660364668599,<rdkit.Chem.rdchem.Mol object at 0x1430fcd60>
93,141,O=C(NC1=NC=2CCN(CC=3C=CC=CC3)CC2S1)C4=CC=CN=C4,Z27332168,350.439,350.439,2.557,-3.793,1,4,58.12,5,https://real.enamine.net/public-enum-files/Z27332168,0.7838948365578542,<rdkit.Chem.rdchem.Mol object at 0x1430fcdd0>
94,142,CC=1C=CC=CC1N2N=CC=3C(=NC=NC32)NCC=4C=CC(F)=CC4,Z1041114010,333.363,333.363,4.382,-5.16,1,4,55.63,4,https://real.enamine.net/public-enum-files/Z1041114010,0.6157508306915171,<rdkit.Chem.rdchem.Mol object at 0x1430fce40>
95,144,CC(NC(=O)C=1C=CC=2CCCCC2C1)C=3C=CC=CN3,Z90933564,280.365,280.365,3.213,-4.732,1,2,41.99,4,https://real.enamine.net/public-enum-files/Z90933564,0.9352996440371124,<rdkit.Chem.rdchem.Mol object at 0x1430fceb0>
97,146,O=C(NCC=1C=CC(=NC1)N2C=NC=N2)C=3C=NC4=CC=CC=C4N3,Z422971012,331.332,331.332,0.867,-3.33,1,6,98.48,5,https://real.enamine.net/public-enum-files/Z422971012,0.6088433216714947,<rdkit.Chem.rdchem.Mol object at 0x1430fcf90>
98,149,CC=1C=CC=2C(=COC2C1)CC(=O)NC=3C(C)=CC=CC3C,Z27072047,293.36,293.36,3.456,-4.86,1,1,42.24,4,https://real.enamine.net/public-enum-files/Z27072047,0.7700360781276041,<rdkit.Chem.rdchem.Mol object at 0x1430fd000>
99,150,O=C(NC1=NN=C(S1)C2CC2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,Z27167316,381.298,381.298,3.916,-5.74,1,3,54.88,6,https://real.enamine.net/public-enum-files/Z27167316,0.7841230557520481,<rdkit.Chem.rdchem.Mol object at 0x1430fd070>
100,152,CC=1C=CC(C(=O)NC(C)C=2C=CC(=CC2)N3C=CN=C3)=C(C)C1,Z27307086,319.401,319.401,3.734,-4.82,1,2,46.92,5,https://real.enamine.net/public-enum-files/Z27307086,0.7904330185143779,<rdkit.Chem.rdchem.Mol object at 0x1430fd0e0>
102,154,CS(=O)(=O)C=1C=CC=C(C1)C(=O)NC2=NC=3C=CC(Cl)=CC3S2,Z27366333,366.845,366.845,2.821,-5.338,1,4,76.13,4,https://real.enamine.net/public-enum-files/Z27366333,0.7678394038172611,<rdkit.Chem.rdchem.Mol object at 0x1430fd1c0>
104,157,COC=1C=C(C=CC1OC(C)C)C(=O)N2C=3C=CC=CC3CC2C,Z27690840,325.402,325.402,3.886,-4.585,0,3,38.77,4,https://real.enamine.net/public-enum-files/Z27690840,0.8502391302761835,<rdkit.Chem.rdchem.Mol object at 0x1430fd2a0>
105,158,CCN1C(CC=2C=CC(=CC2)OC)=NC=3C=CC=CC31,Z57299963,266.338,266.338,3.866,-2.88,0,2,27.05,4,https://real.enamine.net/public-enum-files/Z57299963,0.7203417325874096,<rdkit.Chem.rdchem.Mol object at 0x1430fd310>
107,161,CC1=CC=C(O1)C2=NC=3C=CC=CC3C(=O)N2,Z666587254,226.231,226.231,2.288,-3.93,1,2,54.6,1,https://real.enamine.net/public-enum-files/Z666587254,0.6930615462566723,<rdkit.Chem.rdchem.Mol object at 0x1430fd3f0>
108,163,CC(=O)NC=1C=CC=C(C1)N2N=NN=C2SCC=3C=CC=NC3,Z321091932,326.378,326.378,1.52,-3.736,1,5,85.59,6,https://real.enamine.net/public-enum-files/Z321091932,0.7242019624245684,<rdkit.Chem.rdchem.Mol object at 0x1430fd460>
109,164,CC(NC(=O)C=1C=CN=CC1)C=2C=CC(=CC2)C=3C=CC=CC3,Z27999586,302.371,302.371,4.273,-4.951,1,2,41.99,5,https://real.enamine.net/public-enum-files/Z27999586,0.7829531158449411,<rdkit.Chem.rdchem.Mol object at 0x1430fd4d0>
110,166,CC=1OC(=NC1C(=O)N2CCCC=3C=C(C)C=CC32)C=4C=CC=CC4,Z28078443,332.397,332.397,3.981,-5.791,0,2,46.34,3,https://real.enamine.net/public-enum-files/Z28078443,0.691366497347829,<rdkit.Chem.rdchem.Mol object at 0x1430fd540>
111,168,COC=1C=CC(=CC1)C2=NN=C(SCCN3C=NC=N3)N2C,Z1047657238,316.383,316.383,0.866,-4.161,0,5,70.65,6,https://real.enamine.net/public-enum-files/Z1047657238,0.6466664027023804,<rdkit.Chem.rdchem.Mol object at 0x1430fd5b0>
112,171,COC=1C=CC(=CN1)C(=O)OCC2=NC(=NO2)C=3C=CSC3,Z154661602,317.322,317.322,2.501,-3.378,0,5,87.34,6,https://real.enamine.net/public-enum-files/Z154661602,0.6681571238915103,<rdkit.Chem.rdchem.Mol object at 0x1430fd620>
