,Unnamed: 0,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
8789,10301,C1=CC=C(C=C1)CCCN2CCN(CC2)C=3N=CC=CN3,Z138608952,282.384,282.384,2.922,-2.596,0,4,32.26,5,https://real.enamine.net/public-enum-files/Z138608952,<rdkit.Chem.rdchem.Mol object at 0x17bb43290>,0.8416168545251446
8790,10302,CC=1C=CC=C(C1)CN2CCN(CC2)C(=O)CN3CCN(CC3)C=4N=CC=CN4,Z138609916,394.514,394.514,3.048,-2.872,0,6,55.81,5,https://real.enamine.net/public-enum-files/Z138609916,<rdkit.Chem.rdchem.Mol object at 0x17bb43300>,0.7609461630544457
8791,10303,O=C(NC1CCC2=CC=CC=C21)NC3CCN(CC4CCCC4)CC3,Z914395842,341.491,341.491,3.613,-4.306,2,2,44.37,4,https://real.enamine.net/public-enum-files/Z914395842,<rdkit.Chem.rdchem.Mol object at 0x17bb43370>,0.8782560026675037
8792,10304,O=C1OC=2C=CC=CC2N1CCN(CC=3C=CC(=CC3)C(F)(F)F)C4CC4,Z354548538,376.373,376.373,4.771,-4.63,0,3,32.78,7,https://real.enamine.net/public-enum-files/Z354548538,<rdkit.Chem.rdchem.Mol object at 0x17bb433e0>,0.6446474596716582
8793,10305,CC1=CC=CC(NC(=O)CN2CCN(CCC=3C=CC=CC3)CC2)=C1C,Z106309256,351.486,351.486,2.758,-3.422,1,3,35.58,6,https://real.enamine.net/public-enum-files/Z106309256,<rdkit.Chem.rdchem.Mol object at 0x17bb43450>,0.8685970835616371
8794,10306,CC1=CC=CC(NC(=O)CN2CCN(CC(=O)NC3CC3)CC2)=C1C,Z65197165,344.452,344.452,0.57,-2.206,2,4,64.68,6,https://real.enamine.net/public-enum-files/Z65197165,<rdkit.Chem.rdchem.Mol object at 0x17bb434c0>,0.8122225870043678
8795,10307,O=C(CN1CCN(CCC(=O)N2CCC=3C=CC=CC32)CC1)NC4CC4,Z220085382,356.463,356.463,0.839,-1.977,1,4,55.89,6,https://real.enamine.net/public-enum-files/Z220085382,<rdkit.Chem.rdchem.Mol object at 0x17bb43530>,0.8215437054870929
8796,10308,NC(=O)CN1CCC(CC1)C2=CNC=3C=CC=CC23,Z225096498,257.332,257.332,1.783,-2.054,2,2,62.12,3,https://real.enamine.net/public-enum-files/Z225096498,<rdkit.Chem.rdchem.Mol object at 0x17bb435a0>,0.8808831697009853
8797,10309,COC=1C=CC(C)=CC1NC(=O)CN2CCC(CC2)C3=CNC4=CC=CC=C34,Z225096730,377.48,377.48,3.889,-4.415,2,3,57.36,5,https://real.enamine.net/public-enum-files/Z225096730,<rdkit.Chem.rdchem.Mol object at 0x17bb43610>,0.6968278972866696
8798,10310,O=C(CN1CCC(CC1)C2=CNC=3C=CC=CC23)NC=4C=CC=C(Cl)C4,Z225097298,367.872,367.872,4.875,-4.651,2,2,48.13,4,https://real.enamine.net/public-enum-files/Z225097298,<rdkit.Chem.rdchem.Mol object at 0x17bb43680>,0.7053129429501281
8799,10311,COC=1C=CC(C)=CC1NC(=O)CN2CCN(CC2)C3=CC(Cl)=CC=C3C,Z46283800,387.903,387.903,4.651,-4.708,1,4,44.81,5,https://real.enamine.net/public-enum-files/Z46283800,<rdkit.Chem.rdchem.Mol object at 0x17bb436f0>,0.8486632990452616
8800,10312,CNC(=O)C1CC(=O)N(CC2=CC=CC(=C2)C(F)(F)F)C1,Z434462194,300.277,300.277,2.145,-2.869,1,2,49.41,4,https://real.enamine.net/public-enum-files/Z434462194,<rdkit.Chem.rdchem.Mol object at 0x17bb43760>,0.9251548367081812
8801,10313,CN1N=CC=2C(=NC=NC21)N3CCN(CCCC=4C=CC=CC4)CC3,Z238834788,336.435,336.435,2.638,-3.043,0,5,50.08,5,https://real.enamine.net/public-enum-files/Z238834788,<rdkit.Chem.rdchem.Mol object at 0x17bb437d0>,0.7142277530569919
8802,10314,CN(C)C(=O)CN1CCCN(CCN2C(=O)OC=3C=CC=CC32)CC1,Z400923768,346.425,346.425,0.557,-1.04,0,5,56.33,5,https://real.enamine.net/public-enum-files/Z400923768,<rdkit.Chem.rdchem.Mol object at 0x17bb43840>,0.7971645571338908
8803,10315,CC=1NC=2C=CC(C)=CC2C1CC(=O)NCC3CN4CCCC4CO3,Z954504728,341.448,341.448,2.306,-3.33,2,3,57.36,5,https://real.enamine.net/public-enum-files/Z954504728,<rdkit.Chem.rdchem.Mol object at 0x17bb438b0>,0.8971626274565795
8804,10316,CC=1C=C(NC=2C=CC=3CCCC3C2)N4N=C(N=C4N1)C(F)(F)F,Z641596484,333.312,333.312,4.491,-5.92,1,4,55.11,3,https://real.enamine.net/public-enum-files/Z641596484,<rdkit.Chem.rdchem.Mol object at 0x17bb43920>,0.7771175017038388
8805,10317,O=C(CN1CCN(CC=2C=CC(=CC2)OC(F)(F)F)CC1)N3CCCCC3,Z198159950,385.425,385.425,4.027,-3.092,0,4,36.02,6,https://real.enamine.net/public-enum-files/Z198159950,<rdkit.Chem.rdchem.Mol object at 0x17bb43990>,0.7810232226920472
8806,10318,C=1C=CC(=NC1)N2CCN(CC=3C=CC=C4C=CC=NC34)CC2,Z216567180,304.39,304.39,2.82,-3.093,0,4,32.26,3,https://real.enamine.net/public-enum-files/Z216567180,<rdkit.Chem.rdchem.Mol object at 0x17bb43a00>,0.7445216412479169
8807,10319,O=C(C=1C=CC(=CN1)C(F)(F)F)N2CCC(CC2)N3C=CN=C3,Z1014666032,324.302,324.302,0.311,-2.73,0,3,51.02,4,https://real.enamine.net/public-enum-files/Z1014666032,<rdkit.Chem.rdchem.Mol object at 0x17bb43a70>,0.8534059757510095
8808,10320,COCCN1CCC(CC1)N2C(=O)NC=3C=CC=CC32,Z195834070,275.347,275.347,1.855,-2.052,1,3,44.81,4,https://real.enamine.net/public-enum-files/Z195834070,<rdkit.Chem.rdchem.Mol object at 0x17bb43ae0>,0.922066605665048
8809,10321,CC=1OC(=NC1CN(C)C=2C=CC=CC2)C3=CC=CS3,Z235315946,284.378,284.378,4.196,-3.761,0,2,29.27,4,https://real.enamine.net/public-enum-files/Z235315946,<rdkit.Chem.rdchem.Mol object at 0x17bb43b50>,0.7130636879022901
8810,10322,CN1C=CC(=CC1=O)CN2CCC(CC2)N3C(=O)NC=4C=CC=CC43,Z642079340,338.404,338.404,1.232,-2.5,1,3,55.89,3,https://real.enamine.net/public-enum-files/Z642079340,<rdkit.Chem.rdchem.Mol object at 0x17bb43bc0>,0.7928632082212955
8811,10323,O=C1NC=2C=CC=CC2N1C3CCN(CC=4C=C(F)C=CC4F)CC3,Z642079374,343.371,343.371,3.746,-4.37,1,2,35.58,3,https://real.enamine.net/public-enum-files/Z642079374,<rdkit.Chem.rdchem.Mol object at 0x17bb43c30>,0.7913668538937229
8812,10324,CC(=O)N1CCN(CC2=CN3C=C(Br)C=CC3=N2)CC1,Z643415136,337.215,337.215,1.607,-2.16,0,3,40.85,3,https://real.enamine.net/public-enum-files/Z643415136,<rdkit.Chem.rdchem.Mol object at 0x17bb43ca0>,0.838587901435887
8813,10325,FC1=CC(CN2CCN(CC2)C=3C=CC=CC3)=C4N=CC=CC4=C1,Z368775294,321.392,321.392,3.974,-3.954,0,3,19.37,3,https://real.enamine.net/public-enum-files/Z368775294,<rdkit.Chem.rdchem.Mol object at 0x17bb43d10>,0.7331852150165545
8814,10326,CC(C(=O)NC=1C=C(F)C=CC1F)N2CCN(CC2)C(=O)C=3C=CC=CC3,Z125258036,373.397,373.397,2.801,-4.521,1,3,52.65,4,https://real.enamine.net/public-enum-files/Z125258036,<rdkit.Chem.rdchem.Mol object at 0x17bb43d80>,0.8967349854699589
8815,10328,CC=1C=CC=C(C1)N2CCN(CC(=O)N3CCN(CC=4C=CC=CC4)CC3)CC2,Z213359840,392.538,392.538,4.696,-3.557,0,4,30.03,5,https://real.enamine.net/public-enum-files/Z213359840,<rdkit.Chem.rdchem.Mol object at 0x17bb43df0>,0.7820256689311467
8816,10329,COC=1C=CC=CC1N2CCN(CC(=O)NC=3C=CC=C(C)C3)CC2,Z30957123,339.432,339.432,3.741,-3.747,1,4,44.81,5,https://real.enamine.net/public-enum-files/Z30957123,<rdkit.Chem.rdchem.Mol object at 0x17bb43e60>,0.9097523224240036
8817,10331,CCOC=1C=CC=CC1N2CCN(CC(=O)NC3=CC=CC(C)=C3C)CC2,Z30972967,367.486,367.486,4.069,-4.328,1,4,44.81,6,https://real.enamine.net/public-enum-files/Z30972967,<rdkit.Chem.rdchem.Mol object at 0x17bb43ed0>,0.8492176420316615
8818,10332,CCOC=1C=CC=CC1N2CCN(CC(=O)NC3=CC(C)=CC=C3C)CC2,Z30973057,367.486,367.486,4.119,-4.328,1,4,44.81,6,https://real.enamine.net/public-enum-files/Z30973057,<rdkit.Chem.rdchem.Mol object at 0x17bb43f40>,0.8492176420316615
8819,10333,O=C(CC=1C=CC=CC1F)NC2CCN(C2)C3CC3,Z829610066,262.323,262.323,1.778,-1.988,1,2,32.34,5,https://real.enamine.net/public-enum-files/Z829610066,<rdkit.Chem.rdchem.Mol object at 0x17bb44040>,0.8958314128234841
8820,10334,O=C(CNC=1C=CC=C2CCCCC12)N3CCC=4C=CC=CC43,Z30985756,306.402,306.402,4.424,-5.539,1,2,32.34,4,https://real.enamine.net/public-enum-files/Z30985756,<rdkit.Chem.rdchem.Mol object at 0x17bb440b0>,0.9400264216954052
8821,10335,O=C(CN1CCC(CC1)C(=O)N2CCCCCC2)NC3=CC=CC(Cl)=C3,Z106746538,377.909,377.909,2.694,-3.43,1,3,52.65,4,https://real.enamine.net/public-enum-files/Z106746538,<rdkit.Chem.rdchem.Mol object at 0x17bb44120>,0.8744974034381631
