,SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,mol,QED
25125,CC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC(C)=C(F)C2,Z408146396,300.351,300.351,1.506,-2.719,0,3,57.69,3,https://real.enamine.net/public-enum-files/Z408146396,<rdkit.Chem.rdchem.Mol object at 0x309cf19a0>,0.8181224746217226
25126,CN1CCN(CC1)C2=NC(=NC3=CC=CC=C23)C(F)(F)F,Z86226905,296.292,296.292,2.77,-3.13,0,4,32.26,2,https://real.enamine.net/public-enum-files/Z86226905,<rdkit.Chem.rdchem.Mol object at 0x309cf1a10>,0.8086990446293831
25127,O=C(NC(CN1CCCC1)C=2C=CC=CC2)C3CCCC4=CC=CC=C43,Z316790166,348.482,348.482,4.576,-4.45,1,2,32.34,5,https://real.enamine.net/public-enum-files/Z316790166,<rdkit.Chem.rdchem.Mol object at 0x309cf1a80>,0.8836414466531081
25128,C=1C=CC=2SC(=NC2C1)NCC3COC=4C=CC=CC4O3,Z86325983,298.361,298.361,4.389,-5.145,1,4,43.38,3,https://real.enamine.net/public-enum-files/Z86325983,<rdkit.Chem.rdchem.Mol object at 0x309cf1af0>,0.8028392536672943
25129,O=C(CCC=1C=CC=C(C1)OC2CCCC2)N3CCN(CCO)CC3,Z1139488737,346.465,346.465,2.661,-2.391,1,4,53.01,8,https://real.enamine.net/public-enum-files/Z1139488737,<rdkit.Chem.rdchem.Mol object at 0x309cf1b60>,0.8212403661876619
25130,COC=1C=CC(=CN1)NC(=O)C=2C=C(NN2)C=3C=CC=CC3,Z116543852,294.309,294.309,3.452,-3.973,2,4,79.9,5,https://real.enamine.net/public-enum-files/Z116543852,<rdkit.Chem.rdchem.Mol object at 0x309cf1bd0>,0.7750484104998306
25131,CC=1C=CC(=CN1)C(=O)NC=2C=CC(=NC2)N3CCCCC3,Z238135662,296.368,296.368,2.693,-2.807,1,4,58.12,4,https://real.enamine.net/public-enum-files/Z238135662,<rdkit.Chem.rdchem.Mol object at 0x309cf1c40>,0.9455565438115504
25132,COC=1C=CC(=CN1)C(=O)N2CCN(CC=3C=CC=C(C3)C(F)(F)F)CC2,Z168393114,379.377,379.377,3.611,-3.815,0,4,45.67,5,https://real.enamine.net/public-enum-files/Z168393114,<rdkit.Chem.rdchem.Mol object at 0x309cf1cb0>,0.8192354293619475
25133,O=C(NCC(C=1C=CC=CC1Cl)N2CCOCC2)C3CC4=CC=CC=C4O3,Z364149898,386.872,386.872,3.474,-4.364,1,4,50.8,5,https://real.enamine.net/public-enum-files/Z364149898,<rdkit.Chem.rdchem.Mol object at 0x309cf1d20>,0.8580910992449942
25135,CC(=O)N1CCN(CC1)C2CN(CC(C)C=3C=CC=CC3)CC2C,Z1269080475,329.481,329.481,2.002,-2.47,0,3,26.79,5,https://real.enamine.net/public-enum-files/Z1269080475,<rdkit.Chem.rdchem.Mol object at 0x309cf1e00>,0.8477965929025829
